Product Name,URL,Price,Flipkart Assured
Samsung Q70RAK 138cm (55 inch) Ultra HD (4K) QLED Smart TV,/samsung-q70rak-138cm-55-inch-ultra-hd-4k-qled-smart-tv/p/itmfggqb2q7ecfqd?pid=TVSFHCBV4HHDWGJB&srno=s_2_25&otracker=search&otracker1=search&lid=LSTTVSFHCBV4HHDWGJBZJLH1Z&fm=organic&iid=c160b106-b3b0-46b0-9782-d14b443b313b.TVSFHCBV4HHDWGJB.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹1,24,999",
Samsung Series 4 80cm (32 inch) HD Ready LED Smart TV,/samsung-series-4-80cm-32-inch-hd-ready-led-smart-tv/p/itmfga98hypx8wzc?pid=TVSFGA98FMUQ6V4E&srno=s_2_26&otracker=search&otracker1=search&lid=LSTTVSFGA98FMUQ6V4ESFR1HZ&fm=organic&iid=be48533d-9240-4a7e-8f92-34fb7c5d1905.TVSFGA98FMUQ6V4E.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹14,999",
Samsung 80cm (32 inch) HD Ready LED TV 2018 Edition,/samsung-80cm-32-inch-hd-ready-led-tv-2018/p/itmf5g7dkcrq2gem?pid=TVSF5G7DJGY8ZKDN&srno=s_2_27&otracker=search&otracker1=search&lid=LSTTVSF5G7DJGY8ZKDN24T9M4&fm=organic&iid=220f8518-6731-470c-b31b-a24a9df1d39a.TVSF5G7DJGY8ZKDN.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹12,999",
Thomson R9 60cm (24 inch) HD Ready LED TV,/thomson-r9-60cm-24-inch-hd-ready-led-tv/p/itmf66gtcfpfu4jy?pid=TVSF66GTGDHUNH8T&srno=s_2_28&otracker=search&otracker1=search&lid=LSTTVSF66GTGDHUNH8TJCBM1I&fm=organic&iid=0e768983-e2b5-4a41-9ee0-e9a428c1b924.TVSF66GTGDHUNH8T.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹7,499",
Samsung Super 6 108cm (43 inch) Ultra HD (4K) LED Smart TV,/samsung-super-6-108cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfdzq6khv2pcvz?pid=TVSFDZQ6KMPJYWBV&srno=s_2_29&otracker=search&otracker1=search&lid=LSTTVSFDZQ6KMPJYWBVSJV5AK&fm=organic&iid=4f81a50c-4cf8-473f-b25b-a27baebb5fb3.TVSFDZQ6KMPJYWBV.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹36,999",
Samsung Q60RAK 108cm (43 inch) Ultra HD (4K) QLED Smart TV,/samsung-q60rak-108cm-43-inch-ultra-hd-4k-qled-smart-tv/p/itmfggqbgz78ftfy?pid=TVSFGGQB5ZYKEVYV&srno=s_2_30&otracker=search&otracker1=search&lid=LSTTVSFGGQB5ZYKEVYVVVKTDJ&fm=organic&iid=en_WBs1fbGEbF2FDCUP4oWDEFU9WEdWHJHc%2F27fz7OehSJy0owpzzqI1m23hJ3eE%2BXpfsvpyxtSospyonhEkp6%2BvA%3D%3D&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹66,999",
Samsung 123cm (49 inch) Full HD LED Smart TV 2018 Edition,/samsung-123cm-49-inch-full-hd-led-smart-tv-2018/p/itmf5g7dhumhqfgg?pid=TVSF5G7DK2R3ZG9B&srno=s_2_31&otracker=search&otracker1=search&lid=LSTTVSF5G7DK2R3ZG9BVIATDX&fm=organic&iid=12acaeef-a169-48f6-8e75-b5025bd7911a.TVSF5G7DK2R3ZG9B.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹39,999",
Samsung Series 4 80cm (32 inch) HD Ready LED Smart TV,/samsung-series-4-80cm-32-inch-hd-ready-led-smart-tv/p/itmf5xzyyfcfcjdn?pid=TVSF5XZYHQRPXVJ6&srno=s_2_32&otracker=search&otracker1=search&lid=LSTTVSF5XZYHQRPXVJ6XASJBS&fm=organic&iid=0d5bfddd-8226-4189-8585-0699ca3c11e7.TVSF5XZYHQRPXVJ6.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹24,999",
Samsung 108cm (43 inch) Full HD LED Smart TV 2018 Edition,/samsung-108cm-43-inch-full-hd-led-smart-tv-2018/p/itmf5g7duwjkht2k?pid=TVSF5G7DKJ66PXQZ&srno=s_2_33&otracker=search&otracker1=search&lid=LSTTVSF5G7DKJ66PXQZ2Q3H59&fm=organic&iid=4a147202-e6ab-4fd5-80fa-0fc56314a3c2.TVSF5G7DKJ66PXQZ.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹34,999",
Samsung Super 6 125cm (50 inch) Ultra HD (4K) LED Smart TV,/samsung-super-6-125cm-50-inch-ultra-hd-4k-led-smart-tv/p/itmfdzq6xbcryjdn?pid=TVSFDZQ6KYZEQ2ZZ&srno=s_2_34&otracker=search&otracker1=search&lid=LSTTVSFDZQ6KYZEQ2ZZ76EM5P&fm=organic&iid=3fd01607-1bdc-441b-bb08-4eaea6642ae5.TVSFDZQ6KYZEQ2ZZ.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹47,999",
Samsung 109.2cm (43 inch) Ultra HD (4K) LED Smart TV,/samsung-109-2cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfggqbkfbggkrr?pid=TVSFGGQBWGRFHP5H&srno=s_2_35&otracker=search&otracker1=search&lid=LSTTVSFGGQBWGRFHP5HPNKUH6&fm=organic&iid=d52d12a4-491c-41f4-9ffb-9cc067b97fdb.TVSFGGQBWGRFHP5H.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹42,699",
